ThresholdType,CueType,T,N,K,P,Beta,Mu,Sigma,s,l,DOL,TaskSwitches,Loading,TimetoEq
Composite Threshold,Task Completion,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,NaN,NaN,0.169704633183263,317241,-12777.4251297501,1209
Random Choice,Task Completion,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,0.443088878894291,0.917902463686973,0.000784439138537889,550243,1868.5748702499,4889
Response Threshold,Task Demand,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,NaN,NaN,Inf,1683508,-506079.89839079,1
Satisfaction Threshold,Task Demand,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,NaN,NaN,Inf,333713,-201375.89839079,3406
Composite Threshold,Task Demand,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,NaN,NaN,Inf,609170,-174222.89839079,2768
Random Choice,Task Demand,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,0.862962116896877,0.2169765595141,Inf,720926,-4699.89839078952,4925
Response Threshold,Task Completion,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,NaN,NaN,Inf,1749404,-461402.89839079,1
Satisfaction Threshold,Task Completion,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,NaN,NaN,Inf,318224,-171406.89839079,2600
Composite Threshold,Task Completion,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,NaN,NaN,Inf,524269,-174822.89839079,1767
Random Choice,Task Completion,1,415,0.00149835911769345,0.728077172150414,8.05647843533838,0.953408884246367,0.990989006507655,0.427522945208248,0.108386857577932,Inf,359727,-7543.89839078952,4926
Response Threshold,Task Demand,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,NaN,NaN,0.01687512732248,1789365,-297078.268731815,1426
Satisfaction Threshold,Task Demand,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,NaN,NaN,0.0337566807570398,1639756,-285533.268731815,1219
Composite Threshold,Task Demand,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,NaN,NaN,0.0543911141235005,1561089,-289656.268731815,691
Random Choice,Task Demand,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,0.308091707568076,0.208917997639874,0.000762432579195362,857448,2612.73126818496,4891
Response Threshold,Task Completion,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,NaN,NaN,0.00556638897966101,2045295,-49872.268731815,3822
Satisfaction Threshold,Task Completion,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,NaN,NaN,0.0239820108356396,1400616,-40200.268731815,2086
